transaction_id,merchant_id,customer_id,razorpay_payment_id,razorpay_order_id,timestamp,amount,currency,status,payment_method,international,email_hash,contact_hash,card_id_hash,bank,wallet,amount_refunded,refund_status,error_code,error_source,error_step,error_reason,device_id,ip_hash,geo_region,session_id,label,fraud_scenario
txn_c84e621f267beb32fd46a922e460d4c5,mer_9a92abbef4e5ee,cust_d80914191c8a61,pay_4697ab62beef97,order_5d1514b66a969f,2026-05-23T00:00:09+00:00,432.04,INR,captured,upi,False,5f6e17e80091bd96,da425be0167c6af5,,,,0.0,,,,,,dev_adc3f0d7f23a,13.41.149.74,IN,sess_139aa1f1,0,legitimate
txn_dd3c1db6199ce54116e3ab0740f1ffdb,mer_d829094431276a,cust_778bbf017a96d8,pay_290ac9a1ea861b,order_8305d255b78241,2026-05-23T00:00:18+00:00,5965.85,INR,captured,upi,False,ae0e70de1045628e,7385dfd813054f57,,,,0.0,,,,,,dev_62c0806c82a6,89.77.89.12,IN,sess_2e79bbc0,0,legitimate
txn_cfd8ae611ebb81035031f63b9836b265,mer_20968705a2a594,cust_d26a264b4296d8,pay_f7f9d39f41da2d,order_49ab81d5b3efde,2026-05-23T00:00:29+00:00,4337.16,INR,captured,upi,False,2f56d66f3afb3a31,cd5b3e0ce7f6633d,,,,0.0,,,,,,dev_f8012d71e515,219.211.245.127,IN,sess_35112c1a,0,legitimate
txn_888e4d4542844b779c7fe17285324273,mer_766c4ebfbb520d,cust_688a6d0796ca9d,pay_f6860f4d05e96f,order_96b23118cafe8b,2026-05-23T00:01:26+00:00,4310.17,INR,captured,card,False,cb859374ee581c0e,9df89a633b9bcc88,069c1f90f625ee51,,,0.0,,,,,,dev_4b2b03b825d7,183.245.34.223,IN,sess_5a681052,0,legitimate
txn_57edb41c9f6bc567e48ffb8b686a25ce,mer_918488a6d76eb0,cust_f93f006e851aa4,pay_eb96b6ceea5176,order_03adca6e8cdc43,2026-05-23T00:02:11+00:00,7356.47,INR,captured,card,False,02f49e3204052ebf,cbbc89915aa8fcca,d3e71e7dbaa39b36,,,0.0,,,,,,dev_b13d603d8a17,178.204.65.61,IN,sess_0cf5de1e,0,legitimate
txn_bfa2ad14b0682ea6967865274754e674,mer_2a7b9e0c75bb37,cust_9b9b13b89dd6fa,pay_3b37ef8219df98,order_8819442861d9d4,2026-05-23T00:02:32+00:00,6048.0,INR,captured,card,False,806b661834a1aa02,8c551f4669c17a1b,aba72dac3823ce2e,,,0.0,,,,,,dev_01aa34a12879,149.8.109.139,IN,sess_a0f30427,0,legitimate
txn_c5c2d6ee753cdf5af905fadea6a5f2cf,mer_b5cfe36b3db03d,cust_2e7c3cdcf17651,pay_12b9c4e2a53c23,order_e11cfe73ed9fa3,2026-05-23T00:03:47+00:00,4056.44,INR,captured,upi,False,c1ce28dff02c72df,11bec00c21a21a17,,,,0.0,,,,,,dev_a7b236162bb0,199.62.17.240,IN,sess_05aa6e19,0,legitimate
txn_fdf125da1d506da1c6df43a2921044bb,mer_c01f355321d1a9,cust_02eea8d1a2e2f6,pay_bdf176fbce4019,order_1fe5fe6cec87a7,2026-05-23T00:05:28+00:00,1747.09,INR,captured,wallet,False,ffed3552d8e34eb7,4cd39d6ddc03f1c1,,,Paytm,0.0,,,,,,dev_2145061125f7,8.0.62.214,IN,sess_1868ee32,0,legitimate
txn_0a2b588ee5cbb27e03748c4306c5262d,mer_0ef47424b3a982,cust_a92f76f870b64f,pay_116a1a438e7446,order_9b832c33e42ef3,2026-05-23T00:09:37+00:00,6678.26,INR,captured,upi,False,952d45633dbc9f8a,fb6c3894a41fa557,,,,0.0,,,,,,dev_b62d09bcb546,125.229.11.182,IN,sess_cec79b74,0,legitimate
txn_437a56cd7381d6f55e541b3fdc4a3b74,mer_c5ad35278c934b,cust_f387e3142e8385,pay_b5680498a3c379,order_53d000c1eddb28,2026-05-23T00:10:05+00:00,1657.49,INR,captured,netbanking,False,0e6ace14a4b67591,68559367e105ad46,,HDFC,,0.0,,,,,,dev_ec543a80519c,31.45.28.234,IN,sess_07502d8c,0,legitimate
